0.001	250	seq_l250_e0.001_n1	wfa-ultralow	37400.0	time_ns
0.001	250	seq_l250_e0.001_n1	wfa-ultralow	2532	memory_kb
0.001	250	seq_l250_e0.001_n1	wfa-high	22300.0	time_ns
0.001	250	seq_l250_e0.001_n1	wfa-high	2352	memory_kb
0.001	260	seq_l260_e0.001_n1	wfa-ultralow	21440.0	time_ns
0.001	260	seq_l260_e0.001_n1	wfa-ultralow	2472	memory_kb
0.001	260	seq_l260_e0.001_n1	wfa-high	16790.0	time_ns
0.001	260	seq_l260_e0.001_n1	wfa-high	2420	memory_kb
0.001	270	seq_l270_e0.001_n1	wfa-ultralow	36180.0	time_ns
0.001	270	seq_l270_e0.001_n1	wfa-ultralow	2628	memory_kb
0.001	270	seq_l270_e0.001_n1	wfa-high	22380.0	time_ns
0.001	270	seq_l270_e0.001_n1	wfa-high	2344	memory_kb
0.001	280	seq_l280_e0.001_n1	wfa-ultralow	16030.000000000002	time_ns
0.001	280	seq_l280_e0.001_n1	wfa-ultralow	2496	memory_kb
0.001	280	seq_l280_e0.001_n1	wfa-high	16430.0	time_ns
0.001	280	seq_l280_e0.001_n1	wfa-high	2340	memory_kb
0.001	290	seq_l290_e0.001_n1	wfa-ultralow	22940.0	time_ns
0.001	290	seq_l290_e0.001_n1	wfa-ultralow	2420	memory_kb
0.001	290	seq_l290_e0.001_n1	wfa-high	30190.0	time_ns
0.001	290	seq_l290_e0.001_n1	wfa-high	2476	memory_kb
0.001	300	seq_l300_e0.001_n1	wfa-ultralow	36560.0	time_ns
0.001	300	seq_l300_e0.001_n1	wfa-ultralow	2420	memory_kb
0.001	300	seq_l300_e0.001_n1	wfa-high	22900.0	time_ns
0.001	300	seq_l300_e0.001_n1	wfa-high	2348	memory_kb
0.001	310	seq_l310_e0.001_n1	wfa-ultralow	27920.0	time_ns
0.001	310	seq_l310_e0.001_n1	wfa-ultralow	2380	memory_kb
0.001	310	seq_l310_e0.001_n1	wfa-high	17840.0	time_ns
0.001	310	seq_l310_e0.001_n1	wfa-high	2364	memory_kb
0.001	320	seq_l320_e0.001_n1	wfa-ultralow	22420.0	time_ns
0.001	320	seq_l320_e0.001_n1	wfa-ultralow	2488	memory_kb
0.001	320	seq_l320_e0.001_n1	wfa-high	17260.0	time_ns
0.001	320	seq_l320_e0.001_n1	wfa-high	2552	memory_kb
0.001	330	seq_l330_e0.001_n1	wfa-ultralow	35740.0	time_ns
0.001	330	seq_l330_e0.001_n1	wfa-ultralow	2532	memory_kb
0.001	330	seq_l330_e0.001_n1	wfa-high	19260.0	time_ns
0.001	330	seq_l330_e0.001_n1	wfa-high	2428	memory_kb
0.001	340	seq_l340_e0.001_n1	wfa-ultralow	36940.0	time_ns
0.001	340	seq_l340_e0.001_n1	wfa-ultralow	2424	memory_kb
0.001	340	seq_l340_e0.001_n1	wfa-high	22680.0	time_ns
0.001	340	seq_l340_e0.001_n1	wfa-high	2372	memory_kb
0.001	350	seq_l350_e0.001_n1	wfa-ultralow	37900.0	time_ns
0.001	350	seq_l350_e0.001_n1	wfa-ultralow	2476	memory_kb
0.001	350	seq_l350_e0.001_n1	wfa-high	23050.0	time_ns
0.001	350	seq_l350_e0.001_n1	wfa-high	2432	memory_kb
0.001	360	seq_l360_e0.001_n1	wfa-ultralow	37370.0	time_ns
0.001	360	seq_l360_e0.001_n1	wfa-ultralow	2536	memory_kb
0.001	360	seq_l360_e0.001_n1	wfa-high	14050.0	time_ns
0.001	360	seq_l360_e0.001_n1	wfa-high	4188	memory_kb
0.001	370	seq_l370_e0.001_n1	wfa-ultralow	27700.0	time_ns
0.001	370	seq_l370_e0.001_n1	wfa-ultralow	2424	memory_kb
0.001	370	seq_l370_e0.001_n1	wfa-high	21840.0	time_ns
0.001	370	seq_l370_e0.001_n1	wfa-high	2352	memory_kb
0.001	380	seq_l380_e0.001_n1	wfa-ultralow	34910.0	time_ns
0.001	380	seq_l380_e0.001_n1	wfa-ultralow	2432	memory_kb
0.001	380	seq_l380_e0.001_n1	wfa-high	20950.0	time_ns
0.001	380	seq_l380_e0.001_n1	wfa-high	2348	memory_kb
0.001	390	seq_l390_e0.001_n1	wfa-ultralow	28320.0	time_ns
0.001	390	seq_l390_e0.001_n1	wfa-ultralow	2456	memory_kb
0.001	390	seq_l390_e0.001_n1	wfa-high	23930.0	time_ns
0.001	390	seq_l390_e0.001_n1	wfa-high	2344	memory_kb
0.001	400	seq_l400_e0.001_n1	wfa-ultralow	21270.0	time_ns
0.001	400	seq_l400_e0.001_n1	wfa-ultralow	2392	memory_kb
0.001	400	seq_l400_e0.001_n1	wfa-high	15170.0	time_ns
0.001	400	seq_l400_e0.001_n1	wfa-high	2348	memory_kb
0.001	410	seq_l410_e0.001_n1	wfa-ultralow	34900.0	time_ns
0.001	410	seq_l410_e0.001_n1	wfa-ultralow	2408	memory_kb
0.001	410	seq_l410_e0.001_n1	wfa-high	19590.0	time_ns
0.001	410	seq_l410_e0.001_n1	wfa-high	2552	memory_kb
0.001	420	seq_l420_e0.001_n1	wfa-ultralow	22580.0	time_ns
0.001	420	seq_l420_e0.001_n1	wfa-ultralow	2456	memory_kb
0.001	420	seq_l420_e0.001_n1	wfa-high	16400.0	time_ns
0.001	420	seq_l420_e0.001_n1	wfa-high	2416	memory_kb
0.001	430	seq_l430_e0.001_n1	wfa-ultralow	37150.0	time_ns
0.001	430	seq_l430_e0.001_n1	wfa-ultralow	2412	memory_kb
0.001	430	seq_l430_e0.001_n1	wfa-high	22990.0	time_ns
0.001	430	seq_l430_e0.001_n1	wfa-high	2428	memory_kb
0.001	440	seq_l440_e0.001_n1	wfa-ultralow	24660.0	time_ns
0.001	440	seq_l440_e0.001_n1	wfa-ultralow	2460	memory_kb
0.001	440	seq_l440_e0.001_n1	wfa-high	17570.0	time_ns
0.001	440	seq_l440_e0.001_n1	wfa-high	2416	memory_kb
0.001	450	seq_l450_e0.001_n1	wfa-ultralow	25610.0	time_ns
0.001	450	seq_l450_e0.001_n1	wfa-ultralow	2444	memory_kb
0.001	450	seq_l450_e0.001_n1	wfa-high	21810.0	time_ns
0.001	450	seq_l450_e0.001_n1	wfa-high	2552	memory_kb
0.001	460	seq_l460_e0.001_n1	wfa-ultralow	35550.0	time_ns
0.001	460	seq_l460_e0.001_n1	wfa-ultralow	2412	memory_kb
0.001	460	seq_l460_e0.001_n1	wfa-high	25430.0	time_ns
0.001	460	seq_l460_e0.001_n1	wfa-high	2416	memory_kb
0.001	470	seq_l470_e0.001_n1	wfa-ultralow	38970.0	time_ns
0.001	470	seq_l470_e0.001_n1	wfa-ultralow	2488	memory_kb
0.001	470	seq_l470_e0.001_n1	wfa-high	21080.0	time_ns
0.001	470	seq_l470_e0.001_n1	wfa-high	2348	memory_kb
