"error.rate"	"length"	"mode"	"statistic"	"mean"
0.3	50000	"edlib (edit distance)"	"time_s"	0.1278
0.3	50000	"bitpal (score only)"	"memory_kb"	3377.6
0.3	50000	"bitpal (score only)"	"time_s"	0.3097
0.3	50000	"ksw2-extz2-sse"	"memory_kb"	4884478.4
0.3	50000	"ksw2-extz2-sse"	"time_s"	2.4302
0.3	50000	"WFA-high"	"memory_kb"	11841407.2
0.3	50000	"WFA-high"	"time_s"	3.5838
0.3	50000	"WFA-med"	"memory_kb"	605012.8
0.3	50000	"WFA-med"	"time_s"	8.2528
0.3	50000	"WFA-low"	"memory_kb"	561968.8
0.3	50000	"WFA-low"	"time_s"	9.6984
0.3	50000	"wfalm"	"memory_kb"	11828083.6
0.3	50000	"wfalm"	"time_s"	10.7333
0.3	50000	"wfalm-low"	"memory_kb"	514657.6
0.3	50000	"wfalm-low"	"time_s"	20.159
0.3	50000	"wfalm-recursive"	"memory_kb"	47678
0.3	50000	"wfalm-recursive"	"time_s"	57.2232
0.3	50000	"BiWFA"	"memory_kb"	18669.6
0.3	50000	"BiWFA"	"time_s"	2.7352
0.3	100000	"edlib (edit distance)"	"memory_kb"	4558
0.3	100000	"edlib (edit distance)"	"time_s"	0.4724
0.3	100000	"bitpal (score only)"	"memory_kb"	4174.8
0.3	100000	"bitpal (score only)"	"time_s"	1.2342
0.3	100000	"ksw2-extz2-sse"	"memory_kb"	19548352
0.3	100000	"ksw2-extz2-sse"	"time_s"	9.6907
0.3	100000	"WFA-high"	"memory_kb"	47587714.4
0.3	100000	"WFA-high"	"time_s"	14.0722
0.3	100000	"WFA-med"	"memory_kb"	1519552.4
0.3	100000	"WFA-med"	"time_s"	37.1411
0.3	100000	"WFA-low"	"memory_kb"	885234.4
0.3	100000	"WFA-low"	"time_s"	42.1155
0.3	100000	"wfalm"	"memory_kb"	47426954.8
0.3	100000	"wfalm"	"time_s"	42.6983
0.3	100000	"wfalm-low"	"memory_kb"	1185129.6
0.3	100000	"wfalm-low"	"time_s"	82.1971
0.3	100000	"wfalm-recursive"	"memory_kb"	95326
0.3	100000	"wfalm-recursive"	"time_s"	250.6422
0.3	100000	"BiWFA"	"memory_kb"	34490
0.3	100000	"BiWFA"	"time_s"	10.6612
0.3	200000	"edlib (edit distance)"	"memory_kb"	5289.2
0.3	200000	"edlib (edit distance)"	"time_s"	1.8133
0.3	200000	"bitpal (score only)"	"memory_kb"	5510
0.3	200000	"bitpal (score only)"	"time_s"	4.9433
0.3	200000	"ksw2-extz2-sse"	"memory_kb"	78154332
0.3	200000	"ksw2-extz2-sse"	"time_s"	38.824
0.3	200000	"WFA-high"	"memory_kb"	191437705.6
0.3	200000	"WFA-high"	"time_s"	56.224
0.3	200000	"WFA-med"	"memory_kb"	3058391.6
0.3	200000	"WFA-med"	"time_s"	171.056
0.3	200000	"WFA-low"	"memory_kb"	1811178
0.3	200000	"WFA-low"	"time_s"	190.8125
0.3	200000	"wfalm"	"memory_kb"	189301243.6
0.3	200000	"wfalm"	"time_s"	168.6369
0.3	200000	"wfalm-low"	"memory_kb"	4158579.6
0.3	200000	"wfalm-low"	"time_s"	313.5315
0.3	200000	"wfalm-recursive"	"memory_kb"	202599.6
0.3	200000	"wfalm-recursive"	"time_s"	1082.7632
0.3	200000	"BiWFA"	"memory_kb"	51496.4
0.3	200000	"BiWFA"	"time_s"	42.1376
0.3	500000	"edlib (edit distance)"	"memory_kb"	8095.6
0.3	500000	"edlib (edit distance)"	"time_s"	9.4838
0.3	500000	"bitpal (score only)"	"memory_kb"	7434.8
0.3	500000	"bitpal (score only)"	"time_s"	30.9132
0.3	500000	"ksw2-extz2-sse"	"memory_kb"	488176700.4
0.3	500000	"ksw2-extz2-sse"	"time_s"	243.7864
0.3	500000	"WFA-high"	"memory_kb"	NA
0.3	500000	"WFA-high"	"time_s"	NA
0.3	500000	"WFA-med"	"memory_kb"	8069516.4
0.3	500000	"WFA-med"	"time_s"	1177.9606
0.3	500000	"WFA-low"	"memory_kb"	4648505.2
0.3	500000	"WFA-low"	"time_s"	1311.5855
0.3	500000	"wfalm"	"memory_kb"	NA
0.3	500000	"wfalm"	"time_s"	NA
0.3	500000	"wfalm-low"	"memory_kb"	12615134.8
0.3	500000	"wfalm-low"	"time_s"	1859.4077
0.3	500000	"wfalm-recursive"	"memory_kb"	577574.8
0.3	500000	"wfalm-recursive"	"time_s"	7142.8814
0.3	500000	"BiWFA"	"memory_kb"	122500
0.3	500000	"BiWFA"	"time_s"	281.0138
0.3	1000000	"edlib (edit distance)"	"memory_kb"	12924.4
0.3	1000000	"edlib (edit distance)"	"time_s"	37.2372
0.3	1000000	"bitpal (score only)"	"memory_kb"	9972
0.3	1000000	"bitpal (score only)"	"time_s"	123.8688
0.3	1000000	"ksw2-extz2-sse"	"memory_kb"	NA
0.3	1000000	"ksw2-extz2-sse"	"time_s"	NA
0.3	1000000	"WFA-high"	"memory_kb"	NA
0.3	1000000	"WFA-high"	"time_s"	NA
0.3	1000000	"WFA-med"	"memory_kb"	16277186.4
0.3	1000000	"WFA-med"	"time_s"	4691.7749
0.3	1000000	"WFA-low"	"memory_kb"	9390426.4
0.3	1000000	"WFA-low"	"time_s"	5267.8086
0.3	1000000	"wfalm"	"memory_kb"	NA
0.3	1000000	"wfalm"	"time_s"	NA
0.3	1000000	"wfalm-low"	"memory_kb"	42826854
0.3	1000000	"wfalm-low"	"time_s"	7298.5568
0.3	1000000	"wfalm-recursive"	"memory_kb"	1229837.6
0.3	1000000	"wfalm-recursive"	"time_s"	30597.5333
0.3	1000000	"BiWFA"	"memory_kb"	214455.6
0.3	1000000	"BiWFA"	"time_s"	1200.3154
0.3	2000000	"edlib (edit distance)"	"memory_kb"	22968.8
0.3	2000000	"edlib (edit distance)"	"time_s"	147.9123
0.3	2000000	"bitpal (score only)"	"memory_kb"	14386
0.3	2000000	"bitpal (score only)"	"time_s"	497.8068
0.3	2000000	"ksw2-extz2-sse"	"memory_kb"	NA
0.3	2000000	"ksw2-extz2-sse"	"time_s"	NA
0.3	2000000	"WFA-high"	"memory_kb"	NA
0.3	2000000	"WFA-high"	"time_s"	NA
0.3	2000000	"WFA-med"	"memory_kb"	33360128.4
0.3	2000000	"WFA-med"	"time_s"	18717.3367
0.3	2000000	"WFA-low"	"memory_kb"	19073212.8
0.3	2000000	"WFA-low"	"time_s"	21600.7279
0.3	2000000	"wfalm"	"memory_kb"	NA
0.3	2000000	"wfalm"	"time_s"	NA
0.3	2000000	"wfalm-low"	"memory_kb"	101026068.8
0.3	2000000	"wfalm-low"	"time_s"	28746.658
0.3	2000000	"wfalm-recursive"	"memory_kb"	2587564
0.3	2000000	"wfalm-recursive"	"time_s"	128780.7789
0.3	2000000	"BiWFA"	"memory_kb"	315215.6
0.3	2000000	"BiWFA"	"time_s"	4953.7732
